Postcode,Council+Other Social (Count),Council+Other Social (%),Owned (Count),Owned (%),Shared Ownership (Count),Shared Ownership (%),Private Landlord (Count),Private Landlord (%)
CF24 3DN,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3DQ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3DR,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3DS,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3DT,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3DU,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3DW,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3DX,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3DY,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3DZ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3EA,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3GP,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3HA,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3HB,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3HD,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3HE,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3HF,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3HG,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3HH,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3HJ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3HL,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3HN,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3HP,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3HQ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3HR,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3HS,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3HT,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3HU,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3HW,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3HX,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3JA,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3JB,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3JD,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3JE,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3JF,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3JG,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3JH,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3NS,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3NT,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3NU,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3NW,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3NX,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3NY,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3NZ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PA,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PB,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PD,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PE,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PF,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PG,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PH,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PJ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PR,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PS,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PT,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PU,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PW,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PX,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PY,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3PZ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QA,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QB,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QD,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QE,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QF,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QG,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QH,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QJ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QL,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QN,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QP,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QQ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QR,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QS,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QT,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QU,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QW,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QX,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QY,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3QZ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3RA,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3RB,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3RD,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3RE,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3RF,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3RG,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3RH,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3RJ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3RL,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3RP,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3RQ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3RR,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3RS,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3RT,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3RU,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3RW,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3RX,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3RY,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3RZ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3SA,Error,Error,Error,Error,Error,Error,Error,Error
